train_samples,test_samples,method,C,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
1,25,LogReg_Classic,10.0,0.9430204626717332,0.9421722036317101,0.9428033138841175,0.2872108852812002,0.18955970986213339,0.20179239297577398,0.5995945930480957,23.15162467956543,0,,5
1,1,LogReg_Classic,100.0,0.9423089320522322,0.9425249320443072,0.942816007383936,0.17870695678150894,0.12016352993338973,0.1747227827207704,0.6477267742156982,1.2804052829742432,0,,6
1,10,LogReg_Classic,100.0,0.9423089320522322,0.9425249320443072,0.9407285565410622,0.17870695678150894,0.12016352993338973,0.1289563400194725,0.6477267742156982,9.534379005432129,0,,6
1,25,LogReg_Classic,100.0,0.9423089320522322,0.9425249320443072,0.9416405838430177,0.17870695678150894,0.12016352993338973,0.12431909547309228,0.6477267742156982,23.382237672805786,0,,6
2,1,LogReg_Classic,0.001,0.9181184427235121,0.9168137313905572,0.9317363815735983,0.7351071461515288,0.5844695538537833,0.8112808811229351,1.139028549194336,1.2473158836364746,0,,7
2,10,LogReg_Classic,0.001,0.9181184427235121,0.9168137313905572,0.9349960610936924,0.7351071461515288,0.5844695538537833,0.6145786767609897,1.139028549194336,9.642667293548584,0,,7
2,25,LogReg_Classic,0.001,0.9181184427235121,0.9168137313905572,0.9355793381618044,0.7351071461515288,0.5844695538537833,0.5909710776905657,1.139028549194336,23.92568302154541,0,,7
2,1,LogReg_Classic,0.01,0.9360088754233613,0.9363733149479379,0.9480021116591296,0.7029628474832699,0.5535639258022369,0.7818841890386112,1.2152361869812012,1.1921770572662354,0,,8
2,10,LogReg_Classic,0.01,0.9360088754233613,0.9363733149479379,0.9442973245634342,0.7029628474832699,0.5535639258022369,0.58171217828349,1.2152361869812012,9.46819806098938,0,,8
2,25,LogReg_Classic,0.01,0.9360088754233613,0.9363733149479379,0.9445569693957955,0.7029628474832699,0.5535639258022369,0.5579717276606321,1.2152361869812012,23.375322818756104,0,,8
2,1,LogReg_Classic,0.1,0.940101432979202,0.9405531142705709,0.9475915748923271,0.5571199943720423,0.4278968859897332,0.634839964656167,1.1861915588378906,1.1851532459259033,0,,9
2,10,LogReg_Classic,0.1,0.940101432979202,0.9405531142705709,0.9442551846654208,0.5571199943720423,0.4278968859897332,0.44490869974287234,1.1861915588378906,9.438123941421509,0,,9
2,25,LogReg_Classic,0.1,0.940101432979202,0.9405531142705709,0.9445715076724325,0.5571199943720423,0.4278968859897332,0.42156456577690055,1.1861915588378906,23.137593746185303,0,,9
2,1,LogReg_Classic,1.0,0.9414922686008602,0.9421362693573496,0.947240013421174,0.3293810891618514,0.2477668130648325,0.3840499651091249,1.1721153259277344,1.2352876663208008,0,,10
