train_samples,test_samples,method,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
30,10,NN,0.9476214157585721,0.9477680742427746,0.9498235673957511,0.3548388551481998,0.3522610701033378,0.37965911518273077,347.90313267707825,19.32765769958496,0,,14
30,25,NN,0.9476214157585721,0.9477680742427746,0.9496389346186623,0.3548388551481998,0.3522610701033378,0.3574333567521279,347.90313267707825,47.799164056777954,0,,14
40,1,LogReg,0.9409096317470548,0.940948234206228,0.9475240109613889,0.5394042887220414,0.5384756373340442,0.7678580670163957,17.646060466766357,1.0949199199676514,0,,15
40,10,LogReg,0.9409096317470548,0.940948234206228,0.9431595213688627,0.5394042887220414,0.5384756373340442,0.5693325441825375,17.646060466766357,8.787466049194336,0,,15
40,25,LogReg,0.9409096317470548,0.940948234206228,0.9435164495079763,0.5394042887220414,0.5384756373340442,0.5454221920928009,17.646060466766357,21.651118516921997,0,,15
40,1,NN,0.944630909001015,0.9448354606288708,0.9483662697953729,0.19731954948800287,0.1973065349752383,0.2895922600343007,466.05783247947693,2.0544793605804443,0,,16
40,10,NN,0.944630909001015,0.9448354606288708,0.946336850866609,0.19731954948800287,0.1973065349752383,0.20537787239728414,466.05783247947693,19.411759853363037,0,,16
40,25,NN,0.944630909001015,0.9448354606288708,0.946625577200489,0.19731954948800287,0.1973065349752383,0.19626562857389057,466.05783247947693,49.230270862579346,0,,16
50,1,LogReg,0.9374596299382365,0.9374596299382365,0.9416866018434646,0.15331063867781855,0.15331063867781855,0.2682964969887084,21.791103839874268,1.2152621746063232,0,,17
50,10,LogReg,0.9374596299382365,0.9374596299382365,0.9397330079375519,0.15331063867781855,0.15331063867781855,0.16509702747209848,21.791103839874268,9.04107666015625,0,,17
50,25,LogReg,0.9374596299382365,0.9374596299382365,0.9401279795239349,0.15331063867781855,0.15331063867781855,0.15361363303580278,21.791103839874268,22.854858875274658,0,,17
50,1,NN,0.9472786355582018,0.9472786355582018,0.9534135244667317,0.12703748357502612,0.12703748357502612,0.20799000287211392,583.629558801651,2.1096255779266357,0,,18
50,10,NN,0.9472786355582018,0.9472786355582018,0.9497211822340603,0.12703748357502612,0.12703748357502612,0.13394448883000923,583.629558801651,19.513031244277954,0,,18
50,25,NN,0.9472786355582018,0.9472786355582018,0.9499204753125831,0.12703748357502612,0.12703748357502612,0.12621774809700145,583.629558801651,48.77600955963135,0,,18
