train_samples,test_samples,method,l1_ratio,penalizer,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
20,,Cox,5.623413251903491,100.0,,,,,,,,,1,FIT_ERROR$Matrix is singular.,145
20,,Cox,100.0,0.001,,,,,,,,,1,FIT_ERROR$Matrix is singular.,146
20,,Cox,100.0,0.01778279410038923,,,,,,,,,1,FIT_ERROR$Matrix is singular.,147
20,,Cox,100.0,0.31622776601683794,,,,,,,,,1,FIT_ERROR$Matrix is singular.,148
20,,Cox,100.0,5.623413251903491,,,,,,,,,1,FIT_ERROR$Matrix is singular.,149
20,,Cox,100.0,100.0,,,,,,,,,1,FIT_ERROR$Matrix is singular.,150
30,,Cox,0.001,0.001,,,,,,,,,1,"FIT_ERROR$hessian or gradient contains nan or inf value(s). Convergence halted. Please see the following tips in the lifelines documentation:
https://lifelines.readthedocs.io/en/latest/Examples.html#problems-with-convergence-in-the-cox-proportional-hazard-model
array must not contain infs or NaNs",151
30,1,Cox,0.001,0.01778279410038923,0.8175643612355048,0.81807281030361,0.7993714836695689,0.24202976578419835,0.2426717706550552,0.12014376229258335,206.81683325767517,0.36895155906677246,0,,152
30,10,Cox,0.001,0.01778279410038923,0.8175643612355048,0.81807281030361,0.823768056526262,0.24202976578419835,0.2426717706550552,0.227366072143436,206.81683325767517,2.849581003189087,0,,152
30,25,Cox,0.001,0.01778279410038923,0.8175643612355048,0.81807281030361,0.8252405377534953,0.24202976578419835,0.2426717706550552,0.23939070854463018,206.81683325767517,7.039766788482666,0,,152
30,1,Cox,0.001,0.31622776601683794,0.8109823451346148,0.8115362695538505,0.7904965605378547,0.29294999800755034,0.2950778873203561,0.13436205130603623,189.53084659576416,0.37703633308410645,0,,153
30,10,Cox,0.001,0.31622776601683794,0.8109823451346148,0.8115362695538505,0.8148163381911567,0.29294999800755034,0.2950778873203561,0.274264083712697,189.53084659576416,2.8425369262695312,0,,153
30,25,Cox,0.001,0.31622776601683794,0.8109823451346148,0.8115362695538505,0.8165500754052563,0.29294999800755034,0.2950778873203561,0.29060880054093025,189.53084659576416,7.025726079940796,0,,153
30,1,Cox,0.001,5.623413251903491,0.8031977673614492,0.8046072039298814,0.7769814840474688,0.2996088519574636,0.3018958649177831,0.13693697393868715,200.5906069278717,0.37697482109069824,0,,154
30,10,Cox,0.001,5.623413251903491,0.8031977673614492,0.8046072039298814,0.8064664497357132,0.2996088519574636,0.3018958649177831,0.280772650134395,200.5906069278717,2.827526569366455,0,,154
30,25,Cox,0.001,5.623413251903491,0.8031977673614492,0.8046072039298814,0.8083862214431227,0.2996088519574636,0.3018958649177831,0.29764750967142184,200.5906069278717,7.105914115905762,0,,154
30,1,Cox,0.001,100.0,0.8093956235988118,0.8099432933216836,0.78805853326722,0.2996269787440339,0.30191455004135903,0.13694037998087918,169.38254284858704,0.3860287666320801,0,,155
30,10,Cox,0.001,100.0,0.8093956235988118,0.8099432933216836,0.8132525042604208,0.2996269787440339,0.30191455004135903,0.28078872806949123,169.38254284858704,2.8877177238464355,0,,155
30,25,Cox,0.001,100.0,0.8093956235988118,0.8099432933216836,0.8149688509188523,0.2996269787440339,0.30191455004135903,0.29766549061675535,169.38254284858704,7.142012119293213,0,,155
30,,Cox,0.01778279410038923,0.001,,,,,,,,,1,"FIT_ERROR$hessian or gradient contains nan or inf value(s). Convergence halted. Please see the following tips in the lifelines documentation:
https://lifelines.readthedocs.io/en/latest/Examples.html#problems-with-convergence-in-the-cox-proportional-hazard-model
array must not contain infs or NaNs",156
30,1,Cox,0.01778279410038923,0.01778279410038923,0.8174737534453658,0.8180306472934388,0.7966586200696939,0.2413282896114588,0.24203405077761497,0.12020300729423605,205.63188648223877,0.3679788112640381,0,,157
30,10,Cox,0.01778279410038923,0.01778279410038923,0.8174737534453658,0.8180306472934388,0.8215035559723098,0.2413282896114588,0.24203405077761497,0.22696863469745582,205.63188648223877,2.826524496078491,0,,157
30,25,Cox,0.01778279410038923,0.01778279410038923,0.8174737534453658,0.8180306472934388,0.82317055066529,0.2413282896114588,0.24203405077761497,0.23891130995649884,205.63188648223877,7.008654356002808,0,,157
30,1,Cox,0.01778279410038923,0.31622776601683794,0.8031473591722798,0.8045544012192096,0.7770290078293999,0.29925202972373277,0.3015285727926789,0.13685676420785245,205.13372159004211,0.3710172176361084,0,,158
30,10,Cox,0.01778279410038923,0.31622776601683794,0.8031473591722798,0.8045544012192096,0.8062342910734442,0.29925202972373277,0.3015285727926789,0.2804550719192197,205.13372159004211,2.8706419467926025,0,,158
30,25,Cox,0.01778279410038923,0.31622776601683794,0.8031473591722798,0.8045544012192096,0.808257472424176,0.29925202972373277,0.3015285727926789,0.2972945256931221,205.13372159004211,7.126997709274292,0,,158
30,1,Cox,0.01778279410038923,5.623413251903491,0.8093956254395848,0.8099432942420878,0.78805853326722,0.2996269787437081,0.3019145500410256,0.13694037998075062,168.81463956832886,0.37299442291259766,0,,159
30,10,Cox,0.01778279410038923,5.623413251903491,0.8093956254395848,0.8099432942420878,0.8132525010168943,0.2996269787437081,0.3019145500410256,0.28078872806917543,168.81463956832886,2.835575580596924,0,,159
30,25,Cox,0.01778279410038923,5.623413251903491,0.8093956254395848,0.8099432942420878,0.8149688471266352,0.2996269787437081,0.3019145500410256,0.2976654906164145,168.81463956832886,7.077867031097412,0,,159
30,1,Cox,0.01778279410038923,100.0,0.8093956632238736,0.8099433234604076,0.78805853326722,0.29962697885656,0.30191455015652674,0.1369403800252476,141.91983366012573,0.3709867000579834,0,,160
30,10,Cox,0.01778279410038923,100.0,0.8093956632238736,0.8099433234604076,0.8132525172345274,0.29962697885656,0.30191455015652674,0.280788728178519,141.91983366012573,2.8445723056793213,0,,160
30,25,Cox,0.01778279410038923,100.0,0.8093956632238736,0.8099433234604076,0.8149689180952684,0.29962697885656,0.30191455015652674,0.29766549073443993,141.91983366012573,7.1069159507751465,0,,160
30,,Cox,0.31622776601683794,0.001,,,,,,,,,1,"FIT_ERROR$hessian or gradient contains nan or inf value(s). Convergence halted. Please see the following tips in the lifelines documentation:
https://lifelines.readthedocs.io/en/latest/Examples.html#problems-with-convergence-in-the-cox-proportional-hazard-model
array must not contain infs or NaNs",161
30,1,Cox,0.31622776601683794,0.01778279410038923,0.8034720640284342,0.80488058397605,0.7772477317414203,0.29386366110973255,0.2959718635185144,0.13591554984406415,194.19449472427368,0.3689556121826172,0,,162
30,10,Cox,0.31622776601683794,0.01778279410038923,0.8034720640284342,0.80488058397605,0.8067300122228409,0.29386366110973255,0.2959718635185144,0.27568420460387416,194.19449472427368,2.8245155811309814,0,,162
30,25,Cox,0.31622776601683794,0.01778279410038923,0.8034720640284342,0.80488058397605,0.8086662961742852,0.29386366110973255,0.2959718635185144,0.29194835710253053,194.19449472427368,7.062801837921143,0,,162
30,1,Cox,0.31622776601683794,0.31622776601683794,0.8093956254880261,0.8099432945218183,0.78805853326722,0.2996269787436897,0.3019145500410068,0.1369403799807434,169.16831636428833,0.3810136318206787,0,,163
30,10,Cox,0.31622776601683794,0.31622776601683794,0.8093956254880261,0.8099432945218183,0.8132525010168943,0.2996269787436897,0.3019145500410068,0.28078872806915767,169.16831636428833,2.8616459369659424,0,,163
30,25,Cox,0.31622776601683794,0.31622776601683794,0.8093956254880261,0.8099432945218183,0.8149688471266352,0.2996269787436897,0.3019145500410068,0.29766549061639536,169.16831636428833,7.047759056091309,0,,163
30,1,Cox,0.31622776601683794,5.623413251903491,0.8093956620370594,0.8099433235235727,0.78805853326722,0.29962697885625833,0.30191455015621804,0.1369403800251287,140.93726873397827,0.364971399307251,0,,164
30,10,Cox,0.31622776601683794,5.623413251903491,0.8093956620370594,0.8099433235235727,0.8132525107474742,0.29962697885625833,0.30191455015621804,0.28078872817822664,140.93726873397827,2.815495491027832,0,,164
30,25,Cox,0.31622776601683794,5.623413251903491,0.8093956620370594,0.8099433235235727,0.8149689175535231,0.29962697885625833,0.30191455015621804,0.29766549073412446,140.93726873397827,7.104910135269165,0,,164
30,1,Cox,0.31622776601683794,100.0,0.8093956627636802,0.8099433242454582,0.78805853326722,0.29962697763924434,0.3019145489106345,0.13694037954524566,108.76899003982544,0.36597323417663574,0,,165
30,10,Cox,0.31622776601683794,100.0,0.8093956627636802,0.8099433242454582,0.8132525107474742,0.29962697763924434,0.3019145489106345,0.28078872699903545,108.76899003982544,2.832540273666382,0,,165
30,25,Cox,0.31622776601683794,100.0,0.8093956627636802,0.8099433242454582,0.8149689164700326,0.29962697763924434,0.3019145489106345,0.2976654894613081,108.76899003982544,7.019741773605347,0,,165
30,,Cox,5.623413251903491,0.001,,,,,,,,,1,FIT_ERROR$Matrix is singular.,166
30,,Cox,5.623413251903491,0.01778279410038923,,,,,,,,,1,FIT_ERROR$Matrix is singular.,167
30,,Cox,5.623413251903491,0.31622776601683794,,,,,,,,,1,FIT_ERROR$Matrix is singular.,168
30,,Cox,5.623413251903491,5.623413251903491,,,,,,,,,1,FIT_ERROR$Matrix is singular.,169
